File identification,State Postal Abbreviation,Summary Level,Geographic Component,Logical Record Number,US,Census Region,Census Division,State (Census Code),State (FIPS Code),County of current residence,County Subdivision (FIPS),Place (FIPS Code),Census Tract,Block Group,Consolidated City,"American Indian Area/AlaskaNative Area/ Hawaiian Home Land(Census)","American Indian Area/AlaskaNative Area/ Hawaiian Home Land(FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian TribalSubdivision (Census)","American Indian TribalSubdivision (FIPS)","Alaska Native RegionalCorporation (FIPS)","Metropolitan and MicropolitanStatistical Area",Combined Statistical Area,"Metropolitan Statistical Area-Metropolitan Division",Metropolitan Area Central City,"Metropolitan/MicropolitanIndicator Flag",New England City and Town Area,"New England City and TownCombined Statistical Area","New England City and Town AreaDivision",Urban Area,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,5-digit ZIP Code Tabulation Area,Subminor Civil Division (FIPS),State-School District (Elementary),State-School District (Secondary),State-School District (Unified),Urban/Rural,Principal City Indicator,"Public Use Microdata Area – 5%File",Geographic Identifier,Area Name,Tribal Tract,Tribal Block Group,Qualifying Name,FIPS,Area (Land),Area (Water),Place (State FIPS + Place FIPS),Urban Area Central Place,Voting District,ZIP Code Tabulation Area (3-digit),Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 1% File,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree,% Population 25 Years and Over: Less than High School,% Population 25 Years and Over: High School Graduate (Includes Equivalency),% Population 25 Years and Over: Some College,% Population 25 Years and Over: Bachelor's Degree,% Population 25 Years and Over: Master's Degree,% Population 25 Years and Over: Professional School Degree,% Population 25 Years and Over: Doctorate Degree,Median Household Income (In 2021 Inflation Adjusted Dollars)
Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_QName,Geo_FIPS,Geo_AREALAND,Geo_AREAWATR,Geo_PLACESE,Geo_UACP,Geo_VTD,Geo_ZCTA3,Geo_TAZ,Geo_UGA,Geo_PUMA1,SE_A12001_001,SE_A12001_002,SE_A12001_003,SE_A12001_004,SE_A12001_005,SE_A12001_006,SE_A12001_007,SE_A12001_008,PCT_SE_A12001_002,PCT_SE_A12001_003,PCT_SE_A12001_004,PCT_SE_A12001_005,PCT_SE_A12001_006,PCT_SE_A12001_007,PCT_SE_A12001_008,SE_A14006_001
ACSSF,sc,312,0,40,,,,,45,,,13330,,,,,,,,,,16700,,,,,,,,,,,,,,,,,,Y,,31200US167004513330,Charleston city,,,"Charleston city, SC; Charleston-North Charleston, SC Metro Area",1.67005E+11,282253223,47949670,4513330,,,,,,,105056,6215,16458,25000,35395,13734,4591,3663,5.92,15.67,23.8,33.69,13.07,4.37,3.49,74139
ACSSF,sc,312,0,41,,,,,45,,,50875,,,,,,,,,,16700,,,,,,,,,,,,,,,,,,Y,,31200US167004550875,North Charleston city,,,"North Charleston city, SC; Charleston-North Charleston, SC Metro Area",1.67005E+11,189554662,8965154,4550875,,,,,,,80213,7750,20541,26764,15559,7536,1147,916,9.66,25.61,33.37,19.4,9.39,1.43,1.14,55864
ACSSF,nc,312,0,68,,,,,37,,,12000,,,,,,,,,,16740,,,,,,,,,,,,,,,,,,Y,,31200US167403712000,Charlotte city,,,"Charlotte city, NC; Charlotte-Concord-Gastonia, NC-SC Metro Area",1.67404E+11,770983559,5148533,3712000,,,,,,,599527,59483,101187,146178,186252,80726,18089,7612,9.92,16.88,24.38,31.07,13.46,3.02,1.27,70869
ACSSF,nc,312,0,69,,,,,37,,,14100,,,,,,,,,,16740,,,,,,,,,,,,,,,,,,Y,,31200US167403714100,Concord city,,,"Concord city, NC; Charlotte-Concord-Gastonia, NC-SC Metro Area",1.67404E+11,156089733,92809,3714100,,,,,,,68499,6869,14367,18957,17727,8879,995,705,10.03,20.97,27.67,25.88,12.96,1.45,1.03,79329
ACSSF,nc,312,0,70,,,,,37,,,25580,,,,,,,,,,16740,,,,,,,,,,,,,,,,,,Y,,31200US167403725580,Gastonia city,,,"Gastonia city, NC; Charlotte-Concord-Gastonia, NC-SC Metro Area",1.67404E+11,130805623,585342,3725580,,,,,,,55735,7643,16007,19649,8663,2592,893,288,13.71,28.72,35.25,15.54,4.65,1.6,0.52,53424
ACSSF,sc,312,0,42,,,,,45,,,61405,,,,,,,,,,16740,,,,,,,,,,,,,,,,,,Y,,31200US167404561405,Rock Hill city,,,"Rock Hill city, SC; Charlotte-Concord-Gastonia, NC-SC Metro Area",1.67405E+11,92520164,416046,4561405,,,,,,,46951,3635,10385,15960,10947,5051,671,302,7.74,22.12,33.99,23.32,10.76,1.43,0.64,60237
ACSSF,tn,312,0,42,,,,,47,,,14000,,,,,,,,,,16860,,,,,,,,,,,,,,,,,,Y,,31200US168604714000,Chattanooga city,,,"Chattanooga city, TN; Chattanooga, TN-GA Metro Area",1.68605E+11,355221977,19153969,4714000,,,,,,,125155,12423,33716,36048,27234,11001,2768,1965,9.93,26.94,28.8,21.76,8.79,2.21,1.57,55065
ACSSF,wy,312,0,15,,,,,56,,,13900,,,,,,,,,,16940,,,,,,,,,,,,,,,,,,Y,,31200US169405613900,Cheyenne city,,,"Cheyenne city, WY; Cheyenne, WY Metro Area",1.69406E+11,63508640,282336,5613900,,,,,,,44666,3104,9770,18072,8422,4633,565,100,6.95,21.87,40.46,18.86,10.37,1.26,0.22,60893
ACSSF,il,312,0,98,,,,,17,,,7133,,,,,,,,,,16980,,,,,,,,,,,,,,,,,,Y,,31200US169801707133,Bolingbrook village,,,"Bolingbrook village, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.69802E+11,,,1707133,,,,,,,49679,4028,10479,14839,13560,5386,423,964,8.11,21.09,29.87,27.3,10.84,0.85,1.94,94040
ACSSF,il,312,0,99,,,,,17,,,14000,,,,,,,,,,16980,,,,,,,,,,,,,,,,,,Y,,31200US169801714000,Chicago city,,,"Chicago city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.69802E+11,589571105,16781658,1714000,,,,,,,1907020,246945,395670,431894,475377,248261,67967,40906,12.95,20.75,22.65,24.93,13.02,3.56,2.15,66576
ACSSF,il,312,0,100,,,,,17,,,23074,,,,,,,,,,16980,,,,,,,,,,,,,,,,,,Y,,31200US169801723074,Elgin city,,,"Elgin city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.69802E+11,96252693,1407761,1723074,,,,,,,78375,15062,21058,22725,11486,6538,794,712,19.22,26.87,29,14.66,8.34,1.01,0.91,79120
ACSSF,il,312,0,101,,,,,17,,,24582,,,,,,,,,,16980,,,,,,,,,,,,,,,,,,Y,,31200US169801724582,Evanston city,,,"Evanston city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.69802E+11,20148004,57390,1724582,,,,,,,51102,1636,5047,8044,14853,14392,2704,4426,3.2,9.88,15.74,29.07,28.16,5.29,8.66,82154
ACSSF,il,312,0,102,,,,,17,,,51622,,,,,,,,,,16980,,,,,,,,,,,,,,,,,,Y,,31200US169801751622,Naperville city,,,"Naperville city, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.69802E+11,100411651,1433461,1751622,,,,,,,101859,1714,9273,17834,40436,23944,4739,3919,1.68,9.1,17.51,39.7,23.51,4.65,3.85,129664
ACSSF,il,312,0,103,,,,,17,,,68003,,,,,,,,,,16980,,,,,,,,,,,,,,,,,,Y,,31200US169801768003,Schaumburg village,,,"Schaumburg village, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.69802E+11,49775025,291736,1768003,,,,,,,52142,2617,9785,15747,14926,7470,971,626,5.02,18.77,30.2,28.63,14.33,1.86,1.2,79308
ACSSF,il,312,0,104,,,,,17,,,70122,,,,,,,,,,16980,,,,,,,,,,,,,,,,,,Y,,31200US169801770122,Skokie village,,,"Skokie village, IL; Chicago-Naperville-Elgin, IL-IN-WI Metro Area",1.69802E+11,26062662,0,1770122,,,,,,,47541,4065,8467,10848,13654,6515,2851,1141,8.55,17.81,22.82,28.72,13.7,6,2.4,88618
ACSSF,ca,312,0,197,,,,,6,,,13014,,,,,,,,,,17020,,,,,,,,,,,,,,,,,,Y,,31200US170200613014,Chico city,,,"Chico city, CA; Chico, CA Metro Area",1.70201E+11,85270556,445536,613014,,,,,,,60966,3927,10401,20451,17724,5921,1373,1169,6.44,17.06,33.54,29.07,9.71,2.25,1.92,61850
ACSSF,oh,312,0,70,,,,,39,,,15000,,,,,,,,,,17140,,,,,,,,,,,,,,,,,,Y,,31200US171403915000,Cincinnati city,,,"Cincinnati city, OH; Cincinnati, OH-KY-IN Metro Area",1.71404E+11,201869928,4155439,3915000,,,,,,,201459,20499,47840,50236,47618,24667,5745,4854,10.18,23.75,24.94,23.64,12.24,2.85,2.41,42733
ACSSF,tn,312,0,43,,,,,47,,,15160,,,,,,,,,,17300,,,,,,,,,,,,,,,,,,Y,,31200US173004715160,Clarksville city,,,"Clarksville city, TN; Clarksville, TN-KY Metro Area",1.73005E+11,252789495,1752949,4715160,,,,,,,102427,5177,30330,38094,20446,6482,1259,639,5.05,29.61,37.19,19.96,6.33,1.23,0.62,60686
ACSSF,oh,312,0,71,,,,,39,,,16000,,,,,,,,,,17460,,,,,,,,,,,,,,,,,,Y,,31200US174603916000,Cleveland city,,,"Cleveland city, OH; Cleveland-Elyria, OH Metro Area",1.74604E+11,201234202,12351419,3916000,,,,,,,255254,40279,87274,72265,35518,11997,5870,2051,15.78,34.19,28.31,13.91,4.7,2.3,0.8,35562
ACSSF,tx,312,0,139,,,,,48,,,10912,,,,,,,,,,17780,,,,,,,,,,,,,,,,,,Y,,31200US177804810912,Bryan city,,,"Bryan city, TX; College Station-Bryan, TX Metro Area",1.77805E+11,115027348,228395,4810912,,,,,,,53397,9203,15676,11855,10532,3881,901,1349,17.24,29.36,22.2,19.72,7.27,1.69,2.53,44017
ACSSF,tx,312,0,140,,,,,48,,,15976,,,,,,,,,,17780,,,,,,,,,,,,,,,,,,Y,,31200US177804815976,College Station city,,,"College Station city, TX; College Station-Bryan, TX Metro Area",1.77805E+11,128054755,452527,4815976,,,,,,,53351,2764,7886,14772,14873,8985,616,3455,5.18,14.78,27.69,27.88,16.84,1.15,6.48,49215
ACSSF,co,312,0,44,,,,,8,,,16000,,,,,,,,,,17820,,,,,,,,,,,,,,,,,,Y,,31200US178200816000,Colorado Springs city,,,"Colorado Springs city, CO; Colorado Springs, CO Metro Area",1.78201E+11,503857525,947180,816000,,,,,,,329454,21089,60663,106698,84678,43920,7238,5168,6.4,18.41,32.39,25.7,13.33,2.2,1.57,74579
ACSSF,mo,312,0,53,,,,,29,,,15670,,,,,,,,,,17860,,,,,,,,,,,,,,,,,,Y,,31200US178602915670,Columbia city,,,"Columbia city, MO; Columbia, MO Metro Area",1.78603E+11,163367428,835110,2915670,,,,,,,72139,1705,14147,15839,21343,12498,2552,4055,2.36,19.61,21.96,29.59,17.32,3.54,5.62,60662
ACSSF,sc,312,0,43,,,,,45,,,16000,,,,,,,,,,17900,,,,,,,,,,,,,,,,,,Y,,31200US179004516000,Columbia city,,,"Columbia city, SC; Columbia, SC Metro Area",1.79005E+11,342431057,7034244,4516000,,,,,,,75889,8230,15929,17881,20385,7614,3986,1864,10.84,20.99,23.56,26.86,10.03,5.25,2.46,47524
ACSSF,ga,312,0,71,,,,,13,,,19000,,,,,,,,,,17980,,,,,,,,,,,,,,,,,,Y,,31200US179801319000,Columbus city,,,"Columbus city, GA; Columbus, GA-AL Metro Area",1.79801E+11,560435436,11968740,1319000,,,,,,,134716,14607,36109,41827,23560,12624,3447,2542,10.84,26.8,31.05,17.49,9.37,2.56,1.89,52734
ACSSF,oh,312,0,72,,,,,39,,,18000,,,,,,,,,,18140,,,,,,,,,,,,,,,,,,Y,,31200US181403918000,Columbus city,,,"Columbus city, OH; Columbus, OH Metro Area",1.81404E+11,562466164,15373425,3918000,,,,,,,605747,55764,150628,166526,151418,59323,12103,9985,9.21,24.87,27.49,25,9.79,2,1.65,58202
ACSSF,tx,312,0,141,,,,,48,,,17000,,,,,,,,,,18580,,,,,,,,,,,,,,,,,,Y,,31200US185804817000,Corpus Christi city,,,"Corpus Christi city, TX (part); Corpus Christi, TX Metro Area",1.85805E+11,409853206,780974778,4817000,,,,,,,209826,31102,57701,69464,34425,12091,2504,2539,14.82,27.5,33.11,16.41,5.76,1.19,1.21,59812
ACSSF,tx,312,0,142,,,,,48,,,4000,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,Y,,31200US191004804000,Arlington city,,,"Arlington city, TX; Dallas-Fort Worth-Arlington, TX Metro Area",1.91005E+11,248332497,9690024,4804000,,,,,,,259066,37343,66350,76229,51808,21446,3268,2622,14.41,25.61,29.42,20,8.28,1.26,1.01,59889
ACSSF,tx,312,0,143,,,,,48,,,19000,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,Y,,31200US191004819000,Dallas city,,,"Dallas city, TX; Dallas-Fort Worth-Arlington, TX Metro Area",1.91005E+11,881939036,117394747,4819000,,,,,,,858890,166255,184119,189804,198998,79060,28214,12440,19.36,21.44,22.1,23.17,9.2,3.28,1.45,57995
ACSSF,tx,312,0,144,,,,,48,,,19972,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,Y,,31200US191004819972,Denton city,,,"Denton city, TX; Dallas-Fort Worth-Arlington, TX Metro Area",1.91005E+11,227793502,3531966,4819972,,,,,,,92278,7468,18540,27133,24922,10983,638,2594,8.09,20.09,29.4,27.01,11.9,0.69,2.81,64873
ACSSF,tx,312,0,145,,,,,48,,,27000,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,Y,,31200US191004827000,Fort Worth city,,,"Fort Worth city, TX; Dallas-Fort Worth-Arlington, TX Metro Area",1.91005E+11,880127783,20832365,4827000,,,,,,,590796,98024,140811,165108,119108,52239,9142,6364,16.59,23.83,27.95,20.16,8.84,1.55,1.08,68235
ACSSF,tx,312,0,146,,,,,48,,,37000,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,Y,,31200US191004837000,Irving city,,,"Irving city, TX; Dallas-Fort Worth-Arlington, TX Metro Area",1.91005E+11,173573892,2594600,4837000,,,,,,,161663,33350,28444,30023,43333,20768,3572,2173,20.63,17.59,18.57,26.8,12.85,2.21,1.34,70340
ACSSF,tx,312,0,147,,,,,48,,,58016,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,Y,,31200US191004858016,Plano city,,,"Plano city, TX; Dallas-Fort Worth-Arlington, TX Metro Area",1.91005E+11,185394655,937663,4858016,,,,,,,196763,14456,23784,42220,63224,44659,4337,4083,7.35,12.09,21.46,32.13,22.7,2.2,2.08,95002
ACSSF,tx,312,0,148,,,,,48,,,61796,,,,,,,,,,19100,,,,,,,,,,,,,,,,,,Y,,31200US191004861796,Richardson city,,,"Richardson city, TX; Dallas-Fort Worth-Arlington, TX Metro Area",1.91005E+11,73980062,239485,4861796,,,,,,,77718,6743,8817,19005,26445,11930,2833,1945,8.68,11.34,24.45,34.03,15.35,3.65,2.5,85580
ACSSF,ia,312,0,34,,,,,19,,,19000,,,,,,,,,,19340,,,,,,,,,,,,,,,,,,Y,,31200US193401919000,Davenport city,,,"Davenport city, IA; Davenport-Moline-Rock Island, IA-IL Metro Area",1.93402E+11,163033433,5506551,1919000,,,,,,,70938,4879,22221,24400,13303,4513,849,773,6.88,31.32,34.4,18.75,6.36,1.2,1.09,53914
ACSSF,oh,312,0,73,,,,,39,,,21000,,,,,,,,,,19430,,,,,,,,,,,,,,,,,,Y,,31200US194303921000,Dayton city,,,"Dayton city, OH; Dayton-Kettering, OH Metro Area",1.94304E+11,,,3921000,,,,,,,83787,10615,27365,29081,10644,4669,993,420,12.67,32.66,34.71,12.7,5.57,1.19,0.5,39315
ACSSF,il,312,0,105,,,,,17,,,18823,,,,,,,,,,19500,,,,,,,,,,,,,,,,,,Y,,31200US195001718823,Decatur city,,,"Decatur city, IL; Decatur, IL Metro Area",1.95002E+11,109359696,12147800,1718823,,,,,,,49795,5027,21112,15510,5468,2341,143,194,10.1,42.4,31.15,10.98,4.7,0.29,0.39,40368
ACSSF,fl,312,0,111,,,,,12,,,16525,,,,,,,,,,19660,,,,,,,,,,,,,,,,,,Y,,31200US196601216525,Daytona Beach city,,,"Daytona Beach city, FL; Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1.96601E+11,151283591,13897290,1216525,,,,,,,53229,5664,17044,16875,9104,2842,1183,517,10.64,32.02,31.7,17.1,5.34,2.22,0.97,43864
ACSSF,fl,312,0,112,,,,,12,,,17200,,,,,,,,,,19660,,,,,,,,,,,,,,,,,,Y,,31200US196601217200,Deltona city,,,"Deltona city, FL; Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1.96601E+11,97204200,9156864,1217200,,,,,,,68115,5966,23891,25371,8661,3447,173,606,8.76,35.07,37.25,12.72,5.06,0.25,0.89,63727
ACSSF,co,312,0,45,,,,,8,,,4000,,,,,,,,,,19740,,,,,,,,,,,,,,,,,,Y,,31200US197400804000,Aurora city,,,"Aurora city, CO; Denver-Aurora-Lakewood, CO Metro Area",1.97401E+11,400759192,1806832,804000,,,,,,,260054,39390,55992,76755,59016,21135,4677,3089,15.15,21.53,29.52,22.69,8.13,1.8,1.19,71647
ACSSF,co,312,0,46,,,,,8,,,9280,,,,,,,,,,19740,,,,,,,,,,,,,,,,,,Y,,31200US197400809280,Broomfield city,,,"Broomfield city, CO; Denver-Aurora-Lakewood, CO Metro Area",1.97401E+11,85557538,1466175,809280,,,,,,,53433,2469,6969,12549,18928,8857,1961,1700,4.62,13.04,23.49,35.42,16.58,3.67,3.18,107638
ACSSF,co,312,0,47,,,,,8,,,12815,,,,,,,,,,19740,,,,,,,,,,,,,,,,,,Y,,31200US197400812815,Centennial city,,,"Centennial city, CO; Denver-Aurora-Lakewood, CO Metro Area",1.97401E+11,,,812815,,,,,,,74353,2116,10819,16544,27397,13078,3159,1240,2.85,14.55,22.25,36.85,17.59,4.25,1.67,108531
ACSSF,co,312,0,48,,,,,8,,,20000,,,,,,,,,,19740,,,,,,,,,,,,,,,,,,Y,,31200US197400820000,Denver city,,,"Denver city, CO; Denver-Aurora-Lakewood, CO Metro Area",1.97401E+11,396268588,4225359,820000,,,,,,,521474,47535,79700,107392,171505,76958,24326,14058,9.12,15.28,20.59,32.89,14.76,4.66,2.7,81630
ACSSF,co,312,0,49,,,,,8,,,43000,,,,,,,,,,19740,,,,,,,,,,,,,,,,,,Y,,31200US197400843000,Lakewood city,,,"Lakewood city, CO; Denver-Aurora-Lakewood, CO Metro Area",1.97401E+11,,,843000,,,,,,,119369,7012,24027,33870,33392,14980,3357,2731,5.87,20.13,28.37,27.97,12.55,2.81,2.29,77122
ACSSF,ia,312,0,35,,,,,19,,,21000,,,,,,,,,,19780,,,,,,,,,,,,,,,,,,Y,,31200US197801921000,Des Moines city,,,"Des Moines city, IA; Des Moines-West Des Moines, IA Metro Area",1.97802E+11,209450511,4470710,1921000,,,,,,,141934,17947,41705,43006,25612,10102,2426,1136,12.64,29.38,30.3,18.05,7.12,1.71,0.8,60693
ACSSF,ia,312,0,36,,,,,19,,,83910,,,,,,,,,,19780,,,,,,,,,,,,,,,,,,Y,,31200US197801983910,West Des Moines city,,,"West Des Moines city, IA; Des Moines-West Des Moines, IA Metro Area",1.97802E+11,99944168,2307598,1983910,,,,,,,50854,1659,9178,14687,17058,5402,2357,513,3.26,18.05,28.88,33.54,10.62,4.63,1.01,62073
ACSSF,mi,312,0,84,,,,,26,,,21000,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202621000,Dearborn city,,,"Dearborn city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,62741170,640454,2621000,,,,,,,67288,9499,17496,16835,13695,7177,1592,994,14.12,26,25.02,20.35,10.67,2.37,1.48,61079
ACSSF,mi,312,0,85,,,,,26,,,22000,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202622000,Detroit city,,,"Detroit city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,359361795,10667148,2622000,,,,,,,419011,66199,142157,134733,44206,24906,4367,2443,15.8,33.93,32.16,10.55,5.94,1.04,0.58,36140
ACSSF,mi,312,0,86,,,,,26,,,27440,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202627440,Farmington Hills city,,,"Farmington Hills city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,86194646,72556,2627440,,,,,,,61523,3302,8421,15534,17289,13449,2659,869,5.37,13.69,25.25,28.1,21.86,4.32,1.41,95960
ACSSF,mi,312,0,87,,,,,26,,,49000,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202649000,Livonia city,,,"Livonia city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,92450056,412892,2649000,,,,,,,72342,3785,15089,22051,19450,9435,1751,781,5.23,20.86,30.48,26.89,13.04,2.42,1.08,87332
ACSSF,mi,312,0,88,,,,,26,,,59440,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202659440,Novi city,,,"Novi city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,78381339,2650133,2659440,,,,,,,46909,1994,5905,8428,15978,12433,1201,970,4.25,12.59,17.97,34.06,26.5,2.56,2.07,104597
ACSSF,mi,312,0,89,,,,,26,,,74900,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202674900,Southfield city,,,"Southfield city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,68048419,14814,2674900,,,,,,,55365,1975,10784,21482,10131,8088,2565,340,3.57,19.48,38.8,18.3,14.61,4.63,0.61,55463
ACSSF,mi,312,0,90,,,,,26,,,80700,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202680700,Troy city,,,"Troy city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,86695181,434400,2680700,,,,,,,61232,2156,9784,12630,17932,13653,2765,2312,3.52,15.98,20.63,29.29,22.3,4.52,3.78,98170
ACSSF,mi,312,0,91,,,,,26,,,84000,,,,,,,,,,19820,,,,,,,,,,,,,,,,,,Y,,31200US198202684000,Warren city,,,"Warren city, MI; Detroit-Warren-Dearborn, MI Metro Area",1.98203E+11,89045237,198444,2684000,,,,,,,103508,14195,35941,32663,14510,4697,1072,430,13.71,34.72,31.56,14.02,4.54,1.04,0.42,60042
ACSSF,al,312,0,44,,,,,1,,,21184,,,,,,,,,,20020,,,,,,,,,,,,,,,,,,Y,,31200US200200121184,Dothan city,,,"Dothan city, AL (part); Dothan, AL Metro Area",2.002E+11,212525560,840426,121184,,,,,,,48180,4772,14602,16495,7901,2745,961,704,9.9,30.31,34.24,16.4,5.7,1.99,1.46,43967
ACSSF,mn,312,0,54,,,,,27,,,17000,,,,,,,,,,20260,,,,,,,,,,,,,,,,,,Y,,31200US202602717000,Duluth city,,,"Duluth city, MN; Duluth, MN-WI Metro Area",2.02603E+11,175582234,50857047,2717000,,,,,,,52434,2179,9225,17269,14751,4921,2490,1599,4.16,17.59,32.93,28.13,9.39,4.75,3.05,61944
ACSSF,nc,312,0,71,,,,,37,,,19000,,,,,,,,,,20500,,,,,,,,,,,,,,,,,,Y,,31200US205003719000,Durham city,,,"Durham city, NC (part); Durham-Chapel Hill, NC Metro Area",2.05004E+11,278035381,2357401,3719000,,,,,,,196336,15128,29768,39620,59511,32547,8146,11616,7.71,15.16,20.18,30.31,16.58,4.15,5.92,71388
ACSSF,wi,312,0,58,,,,,55,,,22300,,,,,,,,,,20740,,,,,,,,,,,,,,,,,,Y,,31200US207405522300,Eau Claire city,,,"Eau Claire city, WI; Eau Claire, WI Metro Area",2.07406E+11,82991001,5448490,5522300,,,,,,,40364,1778,9217,15288,9911,2789,1068,313,4.4,22.83,37.88,24.55,6.91,2.65,0.78,57732
ACSSF,tx,312,0,149,,,,,48,,,24000,,,,,,,,,,21340,,,,,,,,,,,,,,,,,,Y,,31200US213404824000,El Paso city,,,"El Paso city, TX; El Paso, TX Metro Area",2.13405E+11,661056631,2642037,4824000,,,,,,,435120,77827,107790,127888,84712,25912,6904,4087,17.89,24.77,29.39,19.47,5.96,1.59,0.94,51241
ACSSF,pa,312,0,68,,,,,42,,,24000,,,,,,,,,,21500,,,,,,,,,,,,,,,,,,Y,,31200US215004224000,Erie city,,,"Erie city, PA; Erie, PA Metro Area",2.15004E+11,49419044,513946,4224000,,,,,,,62102,5831,25017,17141,9718,3182,607,606,9.39,40.28,27.6,15.65,5.12,0.98,0.98,43186
ACSSF,or,312,0,37,,,,,41,,,23850,,,,,,,,,,21660,,,,,,,,,,,,,,,,,,Y,,31200US216604123850,Eugene city,,,"Eugene city, OR; Eugene-Springfield, OR Metro Area",2.16604E+11,113241233,58974,4123850,,,,,,,115474,7325,18580,38217,27728,15639,4287,3698,6.34,16.09,33.1,24.01,13.54,3.71,3.2,59338
ACSSF,in,312,0,69,,,,,18,,,22000,,,,,,,,,,21780,,,,,,,,,,,,,,,,,,Y,,31200US217801822000,Evansville city,,,"Evansville city, IN; Evansville, IN-KY Metro Area",2.17802E+11,114356776,1222688,1822000,,,,,,,79920,7486,27471,27501,11779,4143,470,1070,9.37,34.37,34.41,14.74,5.18,0.59,1.34,46662
ACSSF,nd,312,0,22,,,,,38,,,25700,,,,,,,,,,22020,,,,,,,,,,,,,,,,,,Y,,31200US220203825700,Fargo city,,,"Fargo city, ND; Fargo, ND-MN Metro Area",2.20204E+11,126446132,0,3825700,,,,,,,78318,4624,15078,24567,22324,8454,1077,2194,5.9,19.25,31.37,28.5,10.79,1.38,2.8,59089
ACSSF,nc,312,0,72,,,,,37,,,22920,,,,,,,,,,22180,,,,,,,,,,,,,,,,,,Y,,31200US221803722920,Fayetteville city,,,"Fayetteville city, NC; Fayetteville, NC Metro Area",2.21804E+11,377736090,4827761,3722920,,,,,,,130060,7894,30968,53124,23537,11248,2086,1203,6.07,23.81,40.85,18.1,8.65,1.6,0.92,51629
ACSSF,ar,312,0,31,,,,,5,,,23290,,,,,,,,,,22220,,,,,,,,,,,,,,,,,,Y,,31200US222200523290,Fayetteville city,,,"Fayetteville city, AR; Fayetteville-Springdale-Rogers, AR Metro Area",2.22201E+11,139472019,3617192,523290,,,,,,,53920,2003,12977,13071,15286,6798,1685,2100,3.71,24.07,24.24,28.35,12.61,3.12,3.89,61428
ACSSF,ar,312,0,32,,,,,5,,,60410,,,,,,,,,,22220,,,,,,,,,,,,,,,,,,Y,,31200US222200560410,Rogers city,,,"Rogers city, AR; Fayetteville-Springdale-Rogers, AR Metro Area",2.22201E+11,98273376,477622,560410,,,,,,,47130,6360,15156,9161,10659,4613,523,658,13.49,32.16,19.44,22.62,9.79,1.11,1.4,67408
